Invoice_No,SO_No,Invoice_Date,Customer_No,Customer_Name,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Discount,SO_Type
INV2507055016,SO2507055016,09/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,89L218K963,88,236500,38.11,3
INV2507055017,SO2507055017,06/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,97N549W407,1,502000,23.09,3
INV2507055018,SO2507055018,06/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,52N105K497,43,343800,40.29,3
INV2507055019,SO2507055019,05/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,29Y732T634,55,307000,23.15,3
INV2507055020,SO2507055020,06/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,23A433V455,38,382500,39.27,3
INV2507055021,SO2507055021,01/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,38Q217U140,6,572200,23.26,3
INV2507055022,SO2507055022,24/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,38B790F133,234,385700,39.5,3
INV2507055023,SO2507055023,15/07/2025,C1001,PD MANDIRI BERSATU,001-S3,Sigit Pratama,61D143M418,3,349600,23.41,3
INV2507055024,SO2507055024,12/07/2025,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,83N966R507,2,214400,27.45,3
INV2507055025,SO2507055025,12/07/2025,C1002,TB MEGA MULTINDO,001-S3,Sigit Pratama,47R254C942,1,846800,23.08,3
INV2507055026,SO2507055026,17/07/2025,C1003,TB HARAPAN TEKNIK,001-S3,Sigit Pratama,85W210U401,2,60800,22.72,3
INV2507055027,SO2507055027,27/07/2025,C1003,TB HARAPAN TEKNIK,001-S3,Sigit Pratama,89L218K963,35,265400,38.43,3
INV2507055028,SO2507055028,19/07/2025,C1004,PT MULIA MAKMUR,001-S4,Wahyu Fauzi,69F636V942,2,1010200,24.76,3
INV2507055029,SO2507055029,14/07/2025,C1004,PT MULIA MAKMUR,001-S4,Wahyu Fauzi,62N896W152,1,1000,16.11,3
INV2507055030,SO2507055030,24/07/2025,C1007,TOKO BUANA KARYA,001-S4,Wahyu Fauzi,76S244D539,1,136700,21.97,3
INV2507055031,SO2507055031,21/07/2025,C1007,TOKO BUANA KARYA,001-S4,Wahyu Fauzi,25Q403X156,14,39000,22.34,3
INV2507055032,SO2507055032,05/07/2025,C1007,TOKO BUANA KARYA,001-S4,Wahyu Fauzi,92W336F990,2,539500,25.57,3
INV2507055033,SO2507055033,05/07/2025,C1009,TB LOGAM MULTINDO,001-S1,Yanto Handoko,54R359X261,1,967000,23.17,3
INV2507055034,SO2507055034,08/07/2025,C1009,TB LOGAM MULTINDO,001-S1,Yanto Handoko,22D283E672,1,2099200,25.71,3
